year,state_name,county_name,Value
2014,ILLINOIS,BOONE,4.861829053619828
2013,ILLINOIS,BOONE,4.569712887911217
2021,ILLINOIS,COOK,4.3258593930588125
2019,ILLINOIS,COOK,4.419844594199843
2016,ILLINOIS,COOK,4.318238971344674
2021,ILLINOIS,DE KALB,5.148864938185679
2020,ILLINOIS,DE KALB,4.831347366763277
2019,ILLINOIS,DE KALB,4.795785398763968
2018,ILLINOIS,DE KALB,4.833887507334657
2017,ILLINOIS,DE KALB,5.184426906184989
2016,ILLINOIS,DE KALB,5.476543071893599
2015,ILLINOIS,DE KALB,4.645917105052594
2014,ILLINOIS,DE KALB,4.930412849047066
2013,ILLINOIS,DE KALB,4.922792427332929
2021,ILLINOIS,GRUNDY,5.11584311075775
2020,ILLINOIS,GRUNDY,4.673858651337765
2019,ILLINOIS,GRUNDY,4.165830537061921
2018,ILLINOIS,GRUNDY,5.105682548472233
2017,ILLINOIS,GRUNDY,5.301273372468432
2016,ILLINOIS,GRUNDY,5.395258573609464
2015,ILLINOIS,GRUNDY,4.1683706776333
2014,ILLINOIS,GRUNDY,5.2098283118987805
2013,ILLINOIS,GRUNDY,4.8821501781908605
2021,ILLINOIS,KANE,5.24539027989809
2020,ILLINOIS,KANE,4.468107265056048
2019,ILLINOIS,KANE,4.46556712448467
2018,ILLINOIS,KANE,4.811026242192243
2017,ILLINOIS,KANE,4.480807967912945
2016,ILLINOIS,KANE,5.354616324467396
2015,ILLINOIS,KANE,4.673858651337765
2014,ILLINOIS,KANE,4.714500900479832
2013,ILLINOIS,KANE,4.8694494753339645
2021,ILLINOIS,KENDALL,5.37493744903843
2020,ILLINOIS,KENDALL,4.62559598048156
2019,ILLINOIS,KENDALL,4.8821501781908605
2018,ILLINOIS,KENDALL,5.283492388468778
2017,ILLINOIS,KENDALL,5.321594497039467
2016,ILLINOIS,KENDALL,5.253010701612228
2013,ILLINOIS,KENDALL,4.628136121052939
2021,ILLINOIS,LAKE,4.170910818204679
2020,ILLINOIS,LAKE,4.183611521061575
2019,ILLINOIS,LAKE,3.276781337079194
2017,ILLINOIS,LAKE,3.673043266214352
2016,ILLINOIS,LAKE,3.932137604495033
2015,ILLINOIS,LAKE,3.9524587290660667
2014,ILLINOIS,LAKE,3.8406925439253805
2013,ILLINOIS,LAKE,3.904196058209861
2020,ILLINOIS,LA SALLE,4.7068804787656955
2019,ILLINOIS,LA SALLE,4.46556712448467
2018,ILLINOIS,LA SALLE,5.461302228465324
2017,ILLINOIS,LA SALLE,5.336835340467742
2016,ILLINOIS,LA SALLE,5.222529014755676
2015,ILLINOIS,LA SALLE,4.531610779340529
2014,ILLINOIS,LA SALLE,5.026938190759477
2013,ILLINOIS,LA SALLE,4.744982587336383
2020,ILLINOIS,MCHENRY,4.5570121850543215
2018,ILLINOIS,MCHENRY,4.846588210191553
2017,ILLINOIS,MCHENRY,4.5163699359122536
2016,ILLINOIS,MCHENRY,5.0752008616156825
2015,ILLINOIS,MCHENRY,4.744982587336383
2014,ILLINOIS,MCHENRY,4.681479073051903
2013,ILLINOIS,MCHENRY,4.0794657576350275
2021,ILLINOIS,WILL,4.765303711907417
2020,ILLINOIS,WILL,4.424924875342601
2018,ILLINOIS,WILL,4.732281884479487
2017,ILLINOIS,WILL,5.026938190759477
2015,ILLINOIS,WILL,4.061684773635373
2014,ILLINOIS,WILL,4.536691060483287
2013,ILLINOIS,WILL,3.787349591926417
2019,ILLINOIS,OTHER (COMBINED) COUNTIES,4.290297425059503
2020,ILLINOIS,ADAMS,4.508749514198116
2019,ILLINOIS,ADAMS,4.269976300488469
2018,ILLINOIS,ADAMS,5.024398050188098
2017,ILLINOIS,ADAMS,4.8821501781908605
2016,ILLINOIS,ADAMS,4.905011443333274
2015,ILLINOIS,ADAMS,4.015962243350547
2014,ILLINOIS,ADAMS,5.1412445164715415
2013,ILLINOIS,ADAMS,3.894035495924345
2021,ILLINOIS,BROWN,4.546851622768804
2020,ILLINOIS,BROWN,4.605274855910526
2018,ILLINOIS,BROWN,4.772924133621555
2017,ILLINOIS,BROWN,4.793245258192588
2016,ILLINOIS,BROWN,4.630676261624319
2015,ILLINOIS,BROWN,3.9931009782081337
2014,ILLINOIS,BROWN,4.993916363331547
2013,ILLINOIS,BROWN,4.475727686770186
2021,ILLINOIS,FULTON,4.905011443333274
2020,ILLINOIS,FULTON,4.671318510766386
2019,ILLINOIS,FULTON,4.46556712448467
2018,ILLINOIS,FULTON,5.5375064456067005
2017,ILLINOIS,FULTON,5.044719174759131
2016,ILLINOIS,FULTON,4.955814254760859
2015,ILLINOIS,FULTON,4.330939674201571
2014,ILLINOIS,FULTON,5.034558612473615
2013,ILLINOIS,FULTON,4.353800939343984
2021,ILLINOIS,HANCOCK,5.103142407900854
2020,ILLINOIS,HANCOCK,5.169186062756713
2018,ILLINOIS,HANCOCK,5.938848655884617
2017,ILLINOIS,HANCOCK,5.661973333604282
2016,ILLINOIS,HANCOCK,5.273331826183261
2015,ILLINOIS,HANCOCK,4.579873450196734
2014,ILLINOIS,HANCOCK,5.550207148463596
2013,ILLINOIS,HANCOCK,4.534150919911908
2020,ILLINOIS,HENDERSON,5.065040299330165
2019,ILLINOIS,HENDERSON,4.907551583904653
2018,ILLINOIS,HENDERSON,5.418119838751877
2017,ILLINOIS,HENDERSON,5.6873747393180745
2016,ILLINOIS,HENDERSON,5.258090982754986
2015,ILLINOIS,HENDERSON,4.874529756476724
2014,ILLINOIS,HENDERSON,5.280952247897399
2013,ILLINOIS,HENDERSON,4.470647405627427
2021,ILLINOIS,KNOX,5.032018471902235
2020,ILLINOIS,KNOX,5.17934662504223
