year,state_name,county_name,Value
2019,ILLINOIS,OTHER (COMBINED) COUNTIES,572.7508960345866
2018,ILLINOIS,OTHER (COMBINED) COUNTIES,48.64369194191207
2017,ILLINOIS,OTHER (COMBINED) COUNTIES,20.905356902450983
2016,ILLINOIS,OTHER (COMBINED) COUNTIES,438.14884715720166
2015,ILLINOIS,OTHER (COMBINED) COUNTIES,373.73088226702464
2014,ILLINOIS,OTHER (COMBINED) COUNTIES,420.77428564896786
2013,ILLINOIS,OTHER (COMBINED) COUNTIES,21.946814536716463
2021,ILLINOIS,BOONE,376.44883267840044
2020,ILLINOIS,BOONE,366.16126336431455
2019,ILLINOIS,BOONE,275.0464210689419
2018,ILLINOIS,BOONE,345.56072333042914
2017,ILLINOIS,BOONE,287.56931408584154
2016,ILLINOIS,BOONE,339.591392987688
2015,ILLINOIS,BOONE,340.27723094196034
2014,ILLINOIS,BOONE,340.3534351591017
2013,ILLINOIS,BOONE,356.9913559016356
2021,ILLINOIS,COOK,12.370484582616802
2019,ILLINOIS,COOK,4.419844594199843
2016,ILLINOIS,COOK,12.954716914034023
2021,ILLINOIS,DE KALB,977.7763101410033
2020,ILLINOIS,DE KALB,975.9474089296101
2019,ILLINOIS,DE KALB,739.4857231399186
2018,ILLINOIS,DE KALB,976.2776272038896
2017,ILLINOIS,DE KALB,1078.2642711447652
2016,ILLINOIS,DE KALB,1188.176153668344
2015,ILLINOIS,DE KALB,1026.7502203571946
2014,ILLINOIS,DE KALB,1084.7416296017823
2013,ILLINOIS,DE KALB,1171.8176483886618
2021,ILLINOIS,GRUNDY,520.2715918298919
2020,ILLINOIS,GRUNDY,449.70648675697714
2019,ILLINOIS,GRUNDY,350.81881431318413
2018,ILLINOIS,GRUNDY,509.0441705043957
2017,ILLINOIS,GRUNDY,535.537836663881
2016,ILLINOIS,GRUNDY,561.0662494062422
2015,ILLINOIS,GRUNDY,436.9549810886534
2014,ILLINOIS,GRUNDY,542.9550471323083
2013,ILLINOIS,GRUNDY,543.7424907094359
2021,ILLINOIS,KANE,372.43541057562123
2020,ILLINOIS,KANE,333.26644296495374
